The	﻿the
die	die
Luft.	luft
Sie	sie
senden	senden
Palmen	palmen
heut	heut
und	und
Rosen;	rosen;
der	der
Gärtner	gärtner
ordnet	ordnet
sie	sie
mit	mit
Sinn--	sinn--
und	und
kehrt	kehrt
zum	zum
Eck	eck
der	der
Glaubenslosen	glaubenslosen
die	die
alten,	alten
welken	welken
Blumen	blumen
hin.	hin
II	ii
"""Jetzt"	"""jetzt"
beten,	beten
Willi,--und	willi,--und
nicht	nicht
"reden!"""	"reden!"""
Mit	mit
großem	großem
Aug	aug
gehorcht	gehorcht
der	der
Knab.	knab
Der	der
Vater	vater
legt	legt
den	den
Kranz	kranz
Reseden	reseden
auf	auf
seines	seines
armen	armen
Weibes	weibes
Grab.	grab
"""Die"	"""die"
Mutter	mutter
schläft	schläft
hier!	hier
Mach	mach
ein	ein
Kreuz	kreuz
"nun!"""	"nun!"""
Klein	klein
Willi	willi
sieht	sieht
empor	empor
und	und
macht,	macht
wie	wie
ihm	ihm
befohlen.	befohlen
Ach,	ach
ihn	ihn
reuts	reuts
nun,	nun
daß	daß
er	er
am	am
Weg	weg
heraus	heraus
gelacht!	gelacht
Es	es
sticht	sticht
im	im
Auge	auge
ihn--wie	ihn--wie
Weinen....	weinen
Dann	dann
gehn	gehn
sie	sie
heimwärts	heimwärts
durch	durch
die	die
Nacht;	nacht;
ganz	ganz
ernst	ernst
und	und
stumm.	stumm
Da	da
lockt	lockt
den	den
Kleinen	kleinen
beim	beim
Ausgang	ausgang
jäh	jäh
der	der
Buden	buden
Pracht.	pracht
Es	es
blinkt	blinkt
durch	durch
den	den
Novembernebel	novembernebel
herüber	herüber
lichtbeglänzter	lichtbeglänzter
Tand;	tand;
er	er
sieht	sieht
dort	dort
Pferdchen,	pferdchen
Heime,	heime
Säbel	säbel
und	und
küßt	küßt
dem	dem
Vater	vater
leis	leis
die	die
Hand.	hand
Und	und
der	der
versteht.	versteht
Dann	dann
gehn	gehn
sie	sie
weiter....	weiter
Der	der
Vater	vater
sieht	sieht
so	so
traurig	traurig
aus.--	aus.--
Doch	doch
einen	einen
Pfeiferkuchenreiter	pfeiferkuchenreiter
schleppt	schleppt
Willi	willi
selig	selig
sich	sich
nach	nach
Haus.	haus
BEI	bei
NACHT	nacht
Weit	weit
über	über
Prag	prag
ist	ist
riesengroß	riesengroß
der	der
Kelch	kelch
der	der
Nacht	nacht
schon	schon
aufgegangen;	aufgegangen;
der	der
Sonnenfalter	sonnenfalter
barg	barg
sein	sein
Prangen	prangen
in	in
ihrem	ihrem
kühlen	kühlen
Blütenschoß.	blütenschoß
Hoch	hoch
grinst	grinst
der	der
Mond,	mond
der	der
schlaue	schlaue
Gnom,	gnom
und	und
neckend	neckend
streut	streut
er	er
das	das
Gesträhne	gesträhne
der	der
weißen	weißen
Silberhobelspäne	silberhobelspäne
hernieder	hernieder
in	in
den	den
Moldaustrom.	moldaustrom
Da	da
plötzlich,	plötzlich
wie	wie
beleidigt,	beleidigt
hat	hat
zurückgerufen	zurückgerufen
er	er
die	die
Strahlen,	strahlen
weil	weil
er	er
gewahr	gewahr
ward	ward
des	des
Rivalen:	rivalen:
der	der
Turmuhr	turmuhr
helles	helles
Stundenblatt.	stundenblatt
ABEND	abend
Der	der
Abend	abend
naht.--Die	naht.--die
klare	klare
Zone	zone
der	der
Stirne	stirne
schmückt	schmückt
ein	ein
goldner	goldner
Reifen,	reifen
und	und
tausend	tausend
Schattenhände	schattenhände
greifen	greifen
verstohlen	verstohlen
nach	nach
der	der
roten	roten
Krone.	krone
Die	die
ersten,	ersten
blassen	blassen
Sterne	sterne
liebeln	liebeln
ihm	ihm
zu;	zu;
er	er
steht	steht
hoch	hoch
am	am
Hradschine	hradschine
und	und
schaut	schaut
mit	mit
ernster	ernster
Träumermiene	träumermiene
die	die
Türme	türme
und	und
die	die
grauen	grauen
Giebeln.	giebeln
AUF	auf
DEM	dem
WOLSCHAN	wolschan
Am	am
Abend	abend
des	des
Tages	tages
von	von
Allerseelen	allerseelen
I	i
Die	die
dürren	dürren
Äste	äste
übergittern	übergittern
des	des
Himmels	himmels
abendblasse	abendblasse
Scheiben;	scheiben;
und	und
über	über
Grüfte,	grüfte
reich	reich
mit	mit
Füttern	füttern
geschmückt,	geschmückt
geht	geht
Wehmut,	wehmut
und	und
es	es
zittern	zittern
die	die
Lichter	lichter
durch	durch
das	das
Blättertreiben.	blättertreiben
Im	im
müden	müden
Blau,	blau
im	im
regungslosen,	regungslosen
schwimmt	schwimmt
fern	fern
der	der
Mond.	mond
Die	die
Lebensbäume,	lebensbäume
die	die
seine	seine
blanke	blanke
Stirne	stirne
kosen,	kosen
sind	sind
schwarz.	schwarz
Der	der
Duft	duft
von	von
welken	welken
Rosen	rosen
schleicht	schleicht
her	her
wie	wie
Geister	geister
toter	toter
Träume.	träume
II	ii
Ferner	ferner
Lärm	lärm
vom	vom
Wagendamm.--	wagendamm.--
Hier	hier
keimt	keimt
Friede	friede
und	und
Vergessen,	vergessen
zwischen	zwischen
zweien	zweien
Grabzypressen	grabzypressen
hangt	hangt
der	der
Mond	mond
wie	wie
ein	ein
Tam-Tam.	tam-tam
Schlägt	schlägt
die	die
Ewigkeit	ewigkeit
nicht	nicht
sacht	sacht
jetzt	jetzt
daran	daran
mit	mit
schwarzem	schwarzem
Schwengel?	schwengel?
Bange	bange
schaut	schaut
ein	ein
Marmorengel	marmorengel
in	in
das	das
Aug	aug
der	der
Spätherbstnacht.	spätherbstnacht
WINTERMORGEN	wintermorgen
Der	der
Wasserfall	wasserfall
ist	ist
eingefroren,	eingefroren
die	die
Dohlen	dohlen
hocken	hocken
hart	hart
am	am
Teich.	teich
Mein	mein
schönes	schönes
Lieb	lieb
hat	hat
rote	rote
Ohren	ohren
und	und
sinnt	sinnt
auf	auf
einen	einen
Schelmenstreich.	schelmenstreich
Die	die
Sonne	sonne
küßt	küßt
uns.	uns
Traumverloren	traumverloren
schwimmt	schwimmt
im	im
Geäst	geäst
ein	ein
Klang	klang
in	in
Moll;	moll;
und	und
wir	wir
gehn	gehn
fürder,	fürder
alle	alle
Poren	poren
vom	vom
Kraftarom	kraftarom
des	des
Morgens	morgens
voll.	voll
BRUNNEN	brunnen
Ganz	ganz
verschollen	verschollen
ist	ist
die	die
alte,	alte
holde	holde
Brunnenpoesie,	brunnenpoesie
da	da
aus	aus
Tritons	tritons
Muschelspalte	muschelspalte
eine	eine
klare	klare
Quelle	quelle
lallte,	lallte
die	die
den	den
Gassen	gassen
Sprache	sprache
lieh.	lieh
Abends	abends
bei	bei
den	den
Röhrenkasten	röhrenkasten
sammelte	sammelte
sich	sich
Paar	paar
um	um
Paar,	paar
weil	weil
der	der
Quelle	quelle
lieblich	lieblich
Glasten	glasten
und	und
ihr	ihr
Laut	laut
der	der
tiefgefaßten	tiefgefaßten
Neigung	neigung
süßes	süßes
Omen	omen
war.	war
Aber	aber
als	als
durch	durch
Menschenmühn	menschenmühn
dann	dann
Wasser	wasser
treppen	treppen
aufwärts	aufwärts
stieg,	stieg
und	und
kein	kein
Paar	paar
kam:	kam:
Misogyn	misogyn
dann	dann
ward	ward
der	der
Gott;	gott;
es	es
schlich	schlich
sich	sich
Grünspan	grünspan
in	in
die	die
Muschel,--und	muschel,--und
er	er
schwieg.	schwieg
SPHINX	sphinx
Sie	sie
fanden	fanden
sie,	sie
den	den
Schädel	schädel
halb	halb
zerschlagen,	zerschlagen
in	in
starrer	starrer
Hand	hand
das	das
heiße	heiße
Rohr	rohr
von	von
Stahl.	stahl
Die	die
Menge	menge
gaffte.--Bis	gaffte.--bis
der	der
Rettungswagen	rettungswagen
sie	sie
brachte	brachte
in	in
das	das
gelbe	gelbe
Stadtspital.	stadtspital
Nur	nur
einmal	einmal
hat	hat
das	das
Aug	aug
sie	sie
aufgeschlagen....	aufgeschlagen
Kein	kein
Brief!,	brief
kein	kein
Name,	name
nur	nur
ein	ein
Kleid,	kleid
ein	ein
Schal;	schal;
dann	dann
kam	kam
der	der
Arzt	arzt
mit	mit
seinem	seinem
leisen	leisen
Fragen	fragen
und	und
dann	dann
der	der
Priester.--Sie	priester.--sie
blieb	blieb
stumm	stumm
und	und
fahl.	fahl
Doch	doch
spät	spät
bei	bei
Nacht,	nacht
da	da
wollt	wollt
sie	sie
etwas	etwas
sagen,	sagen
gestehn	gestehn
...	
Doch	doch
niemand	niemand
hörte	hörte
sie	sie
im	im
Saal.	saal
Ein	ein
Röcheln.--Dann	röcheln.--dann
ward	ward
sie	sie
herausgetragen,	herausgetragen
sie	sie
und	und
ihr	ihr
Schmerz.--	schmerz.--
Und	und
draußen	draußen
steht	steht
kein	kein
Mal.	mal
TRÄUME	träume
Es	es
kommt	kommt
die	die
Nacht,	nacht
reich	reich
mit	mit
Geschmeiden	geschmeiden
geschmückt	geschmückt
des	des
blauen	blauen
Kleides	kleides
Saum;--	saum;--
sie	sie
reicht	reicht
mir	mir
mild	mild
mit	mit
ihren	ihren
beiden	beiden
Madonnenhänden	madonnenhänden
einen	einen
Traum.	traum
Dann	dann
geht	geht
sie,	sie
ihre	ihre
Pflicht	pflicht
zu	zu
üben,	üben
hinfort	hinfort
die	die
Stadt	stadt
mit	mit
leisem	leisem
Schritt	schritt
und	und
nimmt,	nimmt
als	als
Sold	sold
des	des
Traumes,	traumes
drüben	drüben
des	des
kranken	kranken
Kindes	kindes
Seele	seele
mit.	mit
MAITAG	maitag
Still!--Ich	still!--ich
hör,	hör
wie	wie
an	an
Geländen	geländen
leicht	leicht
der	der
Wind	wind
vorüberhüpft,	vorüberhüpft
wie	wie
die	die
Sonne	sonne
Strahlenenden	strahlenenden
an	an
Syringendolden	syringendolden
knüpft.	knüpft
Stille	stille
rings.	rings
Nur	nur
ein	ein
geblähter	geblähter
Frosch	frosch
hält	hält
eine	eine
Mückenjagd,	mückenjagd
und	und
ein	ein
Käfer	käfer
schwimmt	schwimmt
im	im
Äther,	äther
ein	ein
lebendiger	lebendiger
Smaragd.	smaragd
Im	im
Geäst	geäst
spinnt	spinnt
Süberrhomben	süberrhomben
Mutter	mutter
Spinne	spinne
Zoll	zoll
um	um
Zoll,	zoll
und	und
von	von
Blütenhekatomben	blütenhekatomben
hat	hat
die	die
Welt	welt
die	die
Hände	hände
voll.	voll
KÖNIG	könig
ABEND	abend
Wie	wie
König	könig
Balthasar	balthasar
einst	einst
nahte,	nahte
die	die
Stirn	stirn
vom	vom
Kronenreif	kronenreif
erhellt,	erhellt
so	so
tritt	tritt
im	im
purpurnen	purpurnen
Ornate	ornate
der	der
König	könig
Abend	abend
in	in
die	die
Welt.	welt
Der	der
erste	erste
Stern	stern
führt	führt
ihn	ihn
wie	wie
jenen	jenen
bis	bis
an	an
den	den
fernsten	fernsten
Hügelsaum;	hügelsaum;
dort	dort
findet	findet
Mutter	mutter
Nacht	nacht
er	er
lehnen	lehnen
mit	mit
ihrem	ihrem
Kind	kind
im	im
Arm,	arm
dem	dem
Traum.	traum
Dem	dem
bringt	bringt
er	er
just,	just
wie	wie
jener	jener
Weise	weise
des	des
Orients,	orients
das	das
Gold,	gold
gehäuft,--	gehäuft,--
das	das
Gold,	gold
das	das
uns	uns
der	der
Knabe	knabe
leise	leise
erlösend	erlösend
in	in
den	den
Schlummer	schlummer
träuft.	träuft
AN	an
DER	der
ECKE	ecke
Der	der
Winter	winter
kommt	kommt
und	und
mit	mit
ihm	ihm
meine	meine
Alte,	alte
die	die
an	an
der	der
Ecke	ecke
stets	stets
Kastanien	kastanien
briet.	briet
Ihr	ihr
Antlitz	antlitz
schaut	schaut
aus	aus
einer	einer
Tücherspalte	tücherspalte
froh	froh
und	und
gesund,	gesund
ob	ob
Falte	falte
auch	auch
bei	bei
Falte	falte
seit	seit
vielen	vielen
Jahren	jahren
es	es
durchzieht.	durchzieht
Und	und
tüchtig	tüchtig
ist	ist
sie,	sie
ja,	ja
das	das
will	will
ich	ich
meinen;	meinen;
die	die
Tüten	tüten
müssen	müssen
rein	rein
sein,	sein
und	und
das	das
Licht	licht
an	an
ihrem	ihrem
Stand	stand
muß	muß
immer	immer
helle	helle
scheinen,	scheinen
und	und
von	von
dem	dem
Ofen	ofen
mit	mit
den	den
krummen	krummen
Beinen	beinen
verlangt	verlangt
sie	sie
streng	streng
die	die
heiße	heiße
Pflicht.	pflicht
So	so
trefflich	trefflich
schmort	schmort
auch	auch
keine	keine
die	die
Maroni.	maroni
Dabei	dabei
bemerkt	bemerkt
sie,	sie
wer	wer
des	des
Weges	weges
zieht,	zieht
und	und
alle	alle
kennt	kennt
sie--bis	sie--bis
zum	zum
Tramwaypony;	tramwaypony;
sie	sie
treibts	treibts
ja	ja
Jahre	jahre
schon,	schon
die	die
alte	alte
Toni....	toni
Und	und
leise	leise
summt	summt
ihr	ihr
Herd	herd
sein	sein
Lied.	lied
HEILIGE	heilige
Große	große
Heilige	heilige
und	und
kleine	kleine
feiert	feiert
jegliche	jegliche
Gemeine;	gemeine;
hölzern	hölzern
und	und
von	von
Steine	steine
feine,	feine
große	große
Heilige	heilige
und	und
kleine.	kleine
Heilge	heilge
Annen	annen
und	und
Kathrinen,	kathrinen
die	die
im	im
Traum	traum
erschienen	erschienen
ihnen,	ihnen
baun	baun
sie	sie
sich	sich
und	und
dienen	dienen
ihnen,	ihnen
heilgen	heilgen
Annen	annen
und	und
Kathrinen.	kathrinen
Wenzel	wenzel
laß	laß
ich	ich
auch	auch
noch	noch
gelten,	gelten
weil	weil
sie	sie
selten	selten
ihn	ihn
bestellten;	bestellten;
denn	denn
zu	zu
viele	viele
gelten	gelten
selten--	selten--
nun,	nun
Sankt	sankt
Wenzel	wenzel
laß	laß
ich	ich
gelten.	gelten
Aber	aber
diese	diese
Nepomuken!	nepomuken
Von	von
des	des
Torgangs	torgangs
Luken	luken
gucken	gucken
und	und
auf	auf
allen	allen
Brucken	brucken
spuken	spuken
lauter,	lauter
lauter	lauter
Nepomuken!	nepomuken
DAS	das
ARME	arme
KIND	kind
Ich	ich
weiß	weiß
ein	ein
Mädchen,	mädchen
eingefallen	eingefallen
die	die
Wangen.--War	wangen.--war
ein	ein
leichtes	leichtes
Tuch	tuch
die	die
Mütter;	mütter;
und	und
des	des
Vaters	vaters
Fluch	fluch
fiel	fiel
in	in
ihr	ihr
erstes	erstes
Lallen.	lallen
Die	die
Armut	armut
blieb	blieb
ihr	ihr
treu	treu
die	die
Jahre,	jahre
und	und
Hunger	hunger
ward	ward
ihr	ihr
Angebind;	angebind;
so	so
ward	ward
sie	sie
ernst.--Das	ernst.--das
Lenzgold	lenzgold
rinnt	rinnt
umsonst	umsonst
in	in
ihre	ihre
Haare.	haare
Sie	sie
schaut	schaut
die	die
lächelnden	lächelnden
Gesichter	gesichter
der	der
Blumen	blumen
traurig	traurig
an	an
im	im
Hag	hag
und	und
denkt:	denkt:
der	der
Allerseelentag	allerseelentag
hat	hat
Blüten	blüten
auch	auch
und	und
Lichter.	lichter
WENNS	wenns
FRÜHLING	frühling
WIRD	wird
Die	die
ersten	ersten
Keime	keime
sind,	sind
die	die
zarten,	zarten
im	im
goldnen	goldnen
Schimmer	schimmer
aufgesprossen;	aufgesprossen;
schon	schon
sind	sind
die	die
ersten	ersten
der	der
Karossen	karossen
im	im
Baumgarten.	baumgarten
Die	die
Wandervögel	wandervögel
wieder	wieder
scharten	scharten
zusamm	zusamm
sich	sich
an	an
der	der
alten	alten
Stelle,	stelle
und	und
bald	bald
stimmt	stimmt
ein	ein
auch	auch
die	die
Kapelle	kapelle
im	im
Baumgarten.	baumgarten
Der	der
Lenzwind	lenzwind
plauscht	plauscht
in	in
neuen	neuen
Arten	arten
die	die
alten,	alten
wundersamen	wundersamen
Märchen,	märchen
und	und
draußen	draußen
träumt	träumt
das	das
erste	erste
Pärchen	pärchen
im	im
Baumgarten.	baumgarten
ALS	als
ICH	ich
DIE	die
UNIVERSITÄT	universität
BEZOG	bezog
Ich	ich
seh	seh
zurück,	zurück
wie	wie
Jahr	jahr
um	um
Jahr	jahr
so	so
müheschwer	müheschwer
vorüberrollte;	vorüberrollte;
nun	nun
endlich	endlich
bin	bin
ich,	ich
was	was
ich	ich
wollte	wollte
und	und
was	was
ich	ich
strebte:	strebte:
ein	ein
Skolar.	skolar
Erst	erst
"""Recht"""	"""recht"""
studieren	studieren
war	war
mein	mein
Plan;	plan;
doch	doch
meine	meine
leichte	leichte
Laune	laune
schreckten	schreckten
die	die
strengen,	strengen
staubigen	staubigen
Pandekten,	pandekten
und	und
also	also
ward	ward
der	der
Plan	plan
zum	zum
Wahn.	wahn
Theologie	theologie
verbot	verbot
mein	mein
Lieb,	lieb
könnt	könnt
mich	mich
auf	auf
Medizin	medizin
nicht	nicht
werfen,	werfen
so	so
daß	daß
für	für
meine	meine
schwachen	schwachen
Nerven	nerven
nichts	nichts
als--Philosophieren	als--philosophieren
blieb.	blieb
Die	die
Alma	alma
mater	mater
reicht	reicht
mir	mir
dar	dar
der	der
freien	freien
Künste	künste
Prachtregister,--	prachtregister,--
und	und
bring	bring
ichs	ichs
nie	nie
auch	auch
zum	zum
Magister,	magister
bin	bin
was	was
ich	ich
strebte:	strebte:
ein	ein
Skolar.	skolar
SUPERAVIT	superavit
Nie	nie
kann	kann
ganz	ganz
die	die
Spur	spur
verlaufen	verlaufen
einer	einer
starken	starken
Tat;	tat;
dies	dies
lehrt	lehrt
zu	zu
Konstanz	konstanz
der	der
Scheiterhaufen;	scheiterhaufen;
denn	denn
aus	aus
tausend	tausend
Feuertaufen	feuertaufen
steigt	steigt
der	der
Hochgeist	hochgeist
unversehrt.	unversehrt
Bis	bis
zu	zu
uns	uns
her	her
ungeheuer	ungeheuer
ragt	ragt
der	der
Reformator	reformator
Hus,	hus
fürchten	fürchten
wir	wir
der	der
Lehre	lehre
Feuer,	feuer
neigen	neigen
wir	wir
uns	uns
doch	doch
in	in
scheuer	scheuer
Ehrfurcht	ehrfurcht
vor	vor
dem	dem
Genius.	genius
Der,	der
den	den
das	das
Gericht	gericht
verdammte,	verdammte
war	war
im	im
Herzen,	herzen
tief	tief
und	und
rein,	rein
überzeugt	überzeugt
von	von
seinem	seinem
Amte,--	amte,--
und	und
der	der
hohe	hohe
Holzstoß	holzstoß
flammte	flammte
seines	seines
Ruhmes	ruhmes
Strahlenschein.	strahlenschein
TROTZDEM	trotzdem
Manchmal	manchmal
vom	vom
Regal	regal
der	der
Wand	wand
hol	hol
ich	ich
meinen	meinen
Schopenhauer,	schopenhauer
einen	einen
"""Kerker"	"""kerker"
voller	voller
"Trauer"""	"trauer"""
hat	hat
er	er
dieses	dieses
Sein	sein
genannt.	genannt
So	so
er	er
recht	recht
hat,	hat
ich	ich
verlor	verlor
nichts:	nichts:
in	in
Kerkereinsamkeiten	kerkereinsamkeiten
weck	weck
ich	ich
meiner	meiner
Seele	seele
Saiten	saiten
glücklich	glücklich
wie	wie
einst	einst
Dalibor.	dalibor
HERBSTSTIMMUNG	herbststimmung
Die	die
Luft	luft
ist	ist
lau,	lau
wie	wie
in	in
dem	dem
Sterbezimmer,	sterbezimmer
an	an
dessen	dessen
Türe	türe
schon	schon
der	der
Tod	tod
steht	steht
still;	still;
auf	auf
nassen	nassen
Dächern	dächern
liegt	liegt
ein	ein
blasser	blasser
Schimmer,	schimmer
wie	wie
der	der
der	der
Kerze,	kerze
die	die
verlöschen	verlöschen
will.	will
Das	das
Regenwasser	regenwasser
röchelt	röchelt
in	in
den	den
Rinnen,	rinnen
der	der
matte	matte
Wind	wind
hält	hält
Blätterleichenschau;--	blätterleichenschau;--
und	und
wie	wie
ein	ein
Schwarm	schwarm
gescheuchter	gescheuchter
Bekassinen	bekassinen
ziehn	ziehn
bang	bang
die	die
kleinen	kleinen
Wolken	wolken
durch	durch
das	das
Grau.	grau
AN	an
JULIUS	julius
ZEYER	zeyer
Du	du
bist	bist
ein	ein
Meister;--früher	meister;--früher
oder	oder
später	später
spannt	spannt
sich	sich
dein	dein
Volk	volk
in	in
deinen	deinen
Siegeswagen;	siegeswagen;
du	du
preisest	preisest
seine	seine
Art	art
und	und
seine	seine
Sagen,--	sagen,--
aus	aus
deinen	deinen
Liedern	liedern
weht	weht
der	der
Heimat	heimat
Äther.	äther
Dein	dein
Volk	volk
tut	tut
recht,--nicht,	recht,--nicht
voll	voll
von	von
wahngeblähter	wahngeblähter
Vergangenheit,	vergangenheit
die	die
Hand	hand
im	im
Schoß	schoß
zu	zu
tragen,	tragen
es	es
kämpft	kämpft
noch	noch
heut	heut
und	und
muß	muß
sich	sich
tüchtig	tüchtig
schlagen,	schlagen
stolz	stolz
auf	auf
sich	sich
selbst	selbst
und	und
stolz	stolz
auf	auf
seine	seine
Väter.	väter
Es	es
hat	hat
dein	dein
Volk	volk
sich	sich
seine	seine
Ideale	ideale
noch	noch
nicht	nicht
versetzen	versetzen
lassen	lassen
zu	zu
den	den
Sternen,	sternen
die	die
unerreichbar	unerreichbar
sind	sind
und	und
Sehnsucht	sehnsucht
glasten;	glasten;
du	du
aber	aber
mahnst,	mahnst
ein	ein
echter	echter
Orientale,	orientale
es	es
möge	möge
in	in
dem	dem
Ringen	ringen
nicht	nicht
verlernen	verlernen
auch	auch
im	im
Alhambrahof	alhambrahof
die	die
Kunst	kunst
zu	zu
rasten.	rasten
DER	der
TRÄUMER	träumer
I	i
Es	es
war	war
ein	ein
Traum	traum
in	in
meiner	meiner
Seele	seele
tief.	tief
Ich	ich
horchte	horchte
auf	auf
den	den
holden	holden
Traum:	traum:
ich	ich
schlief.	schlief
Just	just
ging	ging
ein	ein
Glück	glück
vorüber,	vorüber
als	als
ich	ich
schlief,	schlief
und	und
wie	wie
ich	ich
träumte,	träumte
hört	hört
ich	ich
nicht;	nicht;
es	es
rief.	rief
II	ii
Träume	träume
scheinen	scheinen
mir	mir
wie	wie
Orchideen.--	orchideen.--
So	so
wie	wie
jene	jene
sind	sind
sie	sie
bunt	bunt
und	und
reich.	reich
Aus	aus
dem	dem
Riesenstamm	riesenstamm
der	der
Lebenssäfte	lebenssäfte
ziehn	ziehn
sie	sie
just	just
wie	wie
jene	jene
ihre	ihre
Kräfte,	kräfte
brüsten	brüsten
sich	sich
mit	mit
dem	dem
ersaugten	ersaugten
Blute,	blute
freuen	freuen
in	in
der	der
flüchtigen	flüchtigen
Minute,	minute
in	in
der	der
nächsten	nächsten
sind	sind
sie	sie
tot	tot
und	und
bleich.--	bleich.--
Und	und
wenn	wenn
Welten	welten
oben	oben
leise	leise
gehen,	gehen
fühlst	fühlst
dus	dus
dann	dann
nicht	nicht
wie	wie
von	von
Düften	düften
wehen?	wehen?
Träume	träume
scheinen	scheinen
mir	mir
wie	wie
Orchideen.--	orchideen.--
DIE	die
MUTTER	mutter
Aufwärts	aufwärts
die	die
Theaterrampe	theaterrampe
rollen	rollen
dröhnend	dröhnend
die	die
Karossen,	karossen
abseits	abseits
unter	unter
trüber	trüber
Lampe	lampe
steht	steht
ein	ein
altes	altes
Weib	weib
verdrossen.	verdrossen
Nur	nur
wenn	wenn
